"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2","1","0","1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","3","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","3","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"3","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","5","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","3","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","2","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","3","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","1","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","2","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","0","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","2","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","0","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","2","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","0","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","2","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","0","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","2","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","0","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","2","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","0","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","2","1","3","1","2","0","2","0","3"
,"2","2","0","2","1","2","1","2","0","2","2","2","1","1","2","2",,,"1","1","2","3","0","2","2","3","1","0","0","3","1","2","1","3","1","2","0","2","0","3"
